kapa	fesz	ell
22	10	5,4
33	10	4,6
47	10	2,2
100	10	1,2
220	10	0,6
330	10	0,24
470	10	0,24
1000	10	0,12
2200	10	0,12
3300	100	0,12
4700	10	0,12
10	16	8
22	16	3,6
33	16	2
47	16	1
100	16	0,7
220	16	0,3
330	16	0,2
470	16	0,18
1000	16	0,15
2200	16	0,14
3300	16	0,13
4700	16	0,12
1	25	2,1
2,2	25	2
3,3	25	2
4,7	25	2
10	25	5,3
22	25	1,5
33	25	1,2
47	25	0,9
100	25	0,3
220	25	0,25
330	25	0,25
470	25	0,12
1000	25	0,08
2200	25	0,14
3300	25	0,12
4700	25	0,12
1	35	2,4
2,2	35	2,4
3,3	35	2,3
4,7	35	2,2
10	35	2,2
22	35	1,5
33	35	1,2
47	35	0,7
100	35	0,3
220	35	0,2
330	35	0,1
470	35	0,1
1000	35	0,1
2200	35	0,1
3300	35	0,1
4700	35	0,1
1	50	4,5
2,2	50	4,5
3,3	50	4,7
4,7	50	3
10	50	1,6
22	50	0,8
33	50	0,6
47	50	0,5
100	50	0,3
220	50	0,2
330	50	0,2
470	50	0,1
1000	50	0,1
2200	50	0,1
3300	50	0,1
4700	50	0,1
1	63	4,5
2,2	63	4,5
3,3	63	4,5
4,7	63	3,8
10	63	1,9
22	63	0,9
33	63	0,8
47	63	0,6
100	63	0,4
220	63	0,1
330	63	0,1
470	63	0,1
1000	63	0,1
2200	63	0,1
3300	63	0,1
4700	63	0,1
1	100	8,5
2,2	100	2,3
3,3	100	2,2
4,7	100	2
10	100	2
22	100	1,5
33	100	1,2
47	100	0,7
100	100	0,15
220	100	0,1
330	100	0,1
470	100	0,1
1000	100	0,1
2200	100	0,1
3300	100	0,1
4700	100	0,1
1	160	9,5
2,2	160	4
3,3	160	3,1
4,7	160	3
10	160	1,2
22	160	1,1
33	160	1
47	160	0,5
100	160	0,3
220	160	0,2
330	160	0,1
470	160	0,1
1000	160	0,1
2200	160	0,1
3300	160	0,1
4700	160	0,1
1	250	8,7
2,2	250	6,1
3,3	250	4,6
4,7	250	3,5
10	250	1,4
22	250	0,7
33	250	0,5
47	250	0,4
100	250	0,2
220	250	0,2
330	250	0,2
470	250	0,15
1000	250	0,1
2200	250	0,1
3300	250	0,1
4700	250	0,1
1	350	8,5
2,2	350	4,2
3,3	350	1,6
4,7	350	1,6
10	350	1,2
22	350	1,1
33	350	1,1
47	350	1,1
1	450	3,6
2,2	450	3,6
3,3	450	3,5
4,7	450	5,65
10	450	6,5
22	450	1,5
